,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
616,8,6.0,25642,54.79847809799685,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
617,16,6.0,25650,54.88516082999922,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
618,32,6.0,25666,54.99932355999772,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
619,64,6.0,25698,55.161609378999856,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
620,128,6.0,25762,55.42963329600025,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
621,256,6.0,25890,55.905424605996814,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
622,512,6.0,26146,56.78657738000038,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
623,1024,6.0,26658,58.488534729000094,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,25
624,0,6.0,26658,58.552163848999044,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,26
625,1,6.0,26659,58.61777013999745,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,26
626,2,6.0,26660,58.68427989799966,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,26
627,4,6.0,26662,58.75289482799781,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,26
